Title,Year,Rating,Votes,Genres,Runtime_minutes,Director,Actors,URL
On the Waterfront,1954,8.1,181000,"['Crime', 'Drama', 'Thriller']",108,Elia Kazan,"['Marlon Brando', 'Karl Malden', 'Lee J. Cobb', 'Rod Steiger', 'Pat Henning', 'Leif Erickson', 'James Westerfield', 'Tony Galento', 'Tami Mauriello', 'John F. Hamilton', 'John Heldabrand', 'Rudy Bond', 'Don Blackman', 'Arthur Keegan', 'Abe Simon', 'Eva Marie Saint', 'Martin Balsam', 'Dan Bergin']",https://www.imdb.com/title/tt0047296/
The Twilight Samurai,2002,8.0,27000,"['Drama', 'Romance']",129,Yōji Yamada,"['Hiroyuki Sanada', 'Rie Miyazawa', 'Nenji Kobayashi', 'Ren Ōsugi', 'Mitsuru Fukikoshi', 'Kanako Fukaura', 'Hiroshi Kanbe', 'Miki Ito', 'Erina Hashiguchi', 'Reiko Kusamura', 'Setsuko Tanaka', 'Kii Mizuno', 'Yuuki Natsusaka', 'Astushi Maeda', 'Tsukasa Sugawara', 'Kôichi Taniguchi', 'Teruhiko Tanaka', 'Takako Miyashima']",https://www.imdb.com/title/tt0351817/
Fear Eats the Soul,1974,8.0,26000,"['Drama', 'Romance']",93,Rainer Werner Fassbinder,"['Brigitte Mira', 'El Hedi ben Salem', 'Barbara Valentin', 'Irm Hermann', 'Elma Karlowa', 'Anita Bucher', 'Gusti Kreissl', 'Doris Mattes', 'Margit Symo', 'Katharina Herberg', 'Lilo Pempeit', 'Peter Gauhe', 'Marquard Bohm', 'Walter Sedlmayr', 'Hannes Gromball', 'Hark Bohm', 'Rudolf Waldemar Brem', 'Karl Scheydt']",https://www.imdb.com/title/tt0071141/
Anatomy of a Murder,1959,8.0,79000,"['Drama', 'Mystery']",161,Otto Preminger,"['James Stewart', 'Lee Remick', 'Ben Gazzara', ""Arthur O'Connell"", 'Eve Arden', 'Kathryn Grant', 'George C. Scott', 'Orson Bean', 'Russ Brown', 'Murray Hamilton', 'Brooks West', 'Ken Lynch', 'John Qualen', 'Howard McNear', 'Alexander Campbell', 'Ned Wever', 'Jimmy Conlin', 'Royal Beal']",https://www.imdb.com/title/tt0052561/
Fanny and Alexander,1982,8.1,72000,['Drama'],322,Ingmar Bergman,"['Bertil Guve', 'Pernilla Allwin', 'Kristina Adolphson', 'Börje Ahlstedt', 'Kristian Almgren', 'Carl Billquist', 'Axel Düberg', 'Allan Edwall', 'Siv Ericks', 'Ewa Fröling', 'Patricia Gélin', 'Majlis Granlund', 'Marie Granlund', 'Eva von Hanno', 'Sonya Hedenbratt', 'Olle Hilding', 'Svea Holst', 'Jarl Kulle']",https://www.imdb.com/title/tt0083922/
The Life of Oharu,1952,8.0,8500,['Drama'],133,Kenji Mizoguchi,"['Kinuyo Tanaka', 'Tsukie Matsuura', 'Ichirō Sugai', 'Toshirō Mifune', 'Toshiaki Konoe', 'Kiyoko Tsuji', 'Hisako Yamane', 'Jūkichi Uno', 'Eitarō Shindō', 'Akira Ôizumi', 'Kyôko Kusajima', 'Masao Shimizu', 'Daisuke Katō', 'Toranosuke Ogawa', 'Haruyo Ichikawa', 'Hiroshi Mizuno', 'Yuriko Hamada', 'Noriko Sengoku']",https://www.imdb.com/title/tt0045112/
Day of Wrath,1943,8.0,12000,"['Drama', 'History']",97,Carl Theodor Dreyer,"['Thorkild Roose', 'Lisbeth Movin', 'Sigrid Neiiendam', 'Kirsten Andreasen', 'Sigurd Berg', 'Albert Høeberg', 'Harald Holst', 'Emanuel Jørgensen', 'Sophie Knudsen', 'Preben Lerdorff Rye', 'Preben Neergaard', 'Emilie Nielsen', 'Hans Christian Sørensen', 'Anna Svierkier', 'Olaf Ussing', 'Dagmar Wildenbrück']",https://www.imdb.com/title/tt0036506/
Make Way for Tomorrow,1937,8.1,11000,"['Drama', 'Romance']",91,Leo McCarey,"['Victor Moore', 'Beulah Bondi', 'Fay Bainter', 'Thomas Mitchell', 'Porter Hall', 'Barbara Read', 'Maurice Moscovitch', 'Elisabeth Risdon', 'Minna Gombell', 'Ray Mayer', 'Ralph Remley', 'Louise Beavers', 'Louis Jean Heydt', 'Gene Morgan', 'Granville Bates', 'Jeanne Beeks', 'William Begg', 'Ferike Boros']",https://www.imdb.com/title/tt0029192/
American History X,1998,8.5,1300000,"['Crime', 'Drama']",119,Tony Kaye,"['Edward Norton', 'Edward Furlong', ""Beverly D'Angelo"", 'Jennifer Lien', 'Ethan Suplee', 'Fairuza Balk', 'Avery Brooks', 'Elliott Gould', 'Stacy Keach', 'William Russ', 'Guy Torry', 'Joe Cortese', 'Jason Bose Smith', 'Antonio David Lyons', 'Alex Sol', 'Keram Malicki-Sánchez', 'Giuseppe Andrews', 'Michelle Christine White']",https://www.imdb.com/title/tt0120586/
Amadeus,1984,8.4,473000,"['Biography', 'Drama', 'Music']",160,Miloš Forman,"['F. Murray Abraham', 'Tom Hulce', 'Elizabeth Berridge', 'Roy Dotrice', 'Simon Callow', 'Christine Ebersole', 'Jeffrey Jones', 'Charles Kay', 'Kenneth McMillan', 'Kenny Baker', 'Lisbeth Bartlett', 'Barbara Bryne', 'Martin Cavina', 'Roderick Cook', 'Milan Demjanenko', 'Peter DiGesu', 'Richard Frank', 'Patrick Hines']",https://www.imdb.com/title/tt0086879/
For a Few Dollars More,1965,8.2,304000,"['Drama', 'Western']",132,Sergio Leone,"['Clint Eastwood', 'Lee Van Cleef', 'Gian Maria Volontè', 'Mara Krupp', 'Luigi Pistilli', 'Klaus Kinski', 'Luis Rodríguez', 'Benito Stefanelli', 'Panos Papadopulos', 'Aldo Sambrell', 'Roberto Camardiel', 'Joseph Egger', 'Tomás Blanco', 'Lorenzo Robledo', 'Dante Maggio', 'Sergio Mendizábal', 'Diana Rabito', 'Giovanni Tarallo']",https://www.imdb.com/title/tt0059578/
Judgment at Nuremberg,1961,8.3,99000,"['Drama', 'History', 'War']",179,Stanley Kramer,"['Spencer Tracy', 'Burt Lancaster', 'Richard Widmark', 'Marlene Dietrich', 'Maximilian Schell', 'Judy Garland', 'Montgomery Clift', 'William Shatner', 'Werner Klemperer', 'Kenneth MacKenna', 'Torben Meyer', 'Joseph Bernard', 'Alan Baxter', 'Edward Binns', 'Virginia Christine', 'Otto Waldis', 'Karl Swenson', 'Martin Brandt']",https://www.imdb.com/title/tt0055031/
The Seventh Seal,1957,8.1,218000,"['Drama', 'Fantasy']",96,Ingmar Bergman,"['Max von Sydow', 'Gunnar Björnstrand', 'Bengt Ekerot', 'Nils Poppe', 'Bibi Andersson', 'Inga Gill', 'Maud Hansson', 'Inga Landgré', 'Gunnel Lindblom', 'Bertil Anderberg', 'Anders Ek', 'Åke Fridell', 'Gunnar Olsson', 'Erik Strandmark', 'Siv Aleros', 'Sten Ardenstam', 'Harry Asklund', 'Benkt-Åke Benktsson']",https://www.imdb.com/title/tt0050976/
12 Years a Slave,2013,8.1,795000,"['Biography', 'Drama', 'History']",134,Steve McQueen,"['Chiwetel Ejiofor', 'Michael Kenneth Williams', 'Michael Fassbender', 'Dwight Henry', 'Dickie Gravois', 'Bryan Batt', 'Ashley Dyke', 'Kelsey Scott', 'Quvenzhané Wallis', 'Cameron Zeigler', 'Tony Bentley', 'Scoot McNairy', 'Taran Killam', 'Christopher Berry', 'Bill Camp', 'Mister Mackey Jr.', 'Chris Chalk', 'Craig Tate']",https://www.imdb.com/title/tt2024544/
Catch Me If You Can,2002,8.1,1300000,"['Biography', 'Crime', 'Drama']",141,Steven Spielberg,"['Leonardo DiCaprio', 'Tom Hanks', 'Christopher Walken', 'Martin Sheen', 'Nathalie Baye', 'Amy Adams', 'James Brolin', 'Brian Howe', 'Frank John Hughes', 'Steve Eastin', 'Chris Ellis', 'John Finn', 'Jennifer Garner', 'Nancy Lenehan', 'Ellen Pompeo', 'Elizabeth Banks', 'Guy Thauvette', 'Candice Azzara']",https://www.imdb.com/title/tt0264464/
"Monsters, Inc.",2001,8.1,1100000,"['Animation', 'Adventure', 'Comedy']",92,Pete Docter,"['Billy Crystal', 'John Goodman', 'Mary Gibbs', 'Steve Buscemi', 'James Coburn', 'Jennifer Tilly', 'Bob Peterson', 'John Ratzenberger', 'Frank Oz', 'Daniel Gerson', 'Steve Susskind', 'Bonnie Hunt', 'Jeff Pidgeon', 'Samuel Lord Black']",https://www.imdb.com/title/tt0198781/
The Second Mother,2015,7.8,20000,"['Comedy', 'Drama']",112,Anna Muylaert,"['Regina Casé', 'Helena Albergaria', 'Michel Joelsas', 'Camila Márdila', 'Karine Teles', 'Lourenço Mutarelli', 'Bete Dorgam', 'Luis Miranda', 'Theo Werneck', 'Luci Pereira', 'Anapaula Csernik', 'Hugo Villavicenzio', 'Roberto Camargo', 'Alex Huszar', 'Andrey Lima', 'Thaise Reis', 'Nilcéia Vicente']",https://www.imdb.com/title/tt3742378/
The Circus,1928,8.1,39000,"['Comedy', 'Family', 'Romance']",72,Charles Chaplin,"['Charles Chaplin', 'Merna Kennedy', 'Al Ernest Garcia', 'Harry Crocker', 'George Davis', 'Henry Bergman', 'Tiny Sandford', 'John Rand', 'Steve Murphy', 'Albert Austin', 'Chester A. Bachman', 'Eugene Barry', 'Jack Bernard', 'Stanley Blystone', 'Heinie Conklin', 'Inez Gomez', 'Toraichi Kono', 'H.L. Kyle']",https://www.imdb.com/title/tt0018773/
Jujutsu Kaisen 0,2021,7.8,67000,"['Animation', 'Action', 'Fantasy']",112,Sunghoo Park,"['Megumi Ogata', 'Kana Hanazawa', 'Yuichi Nakamura', 'Takahiro Sakurai', 'Mikako Komatsu', 'Koki Uchiyama', 'Tomokazu Seki', 'Mitsuo Iwata', 'Takaya Kuroda', 'Risae Matsuda', 'Satsumi Matsuda', 'Shizuka Itô', 'Show Hayami', 'Koichi Yamadera', 'Subaru Kimura', 'Satoshi Hino', 'Rie Kugimiya', 'Marina Inoue']",https://www.imdb.com/title/tt14331144/
Shoplifters,2018,7.9,97000,"['Crime', 'Drama', 'Thriller']",121,Hirokazu Koreeda,"['Lily Franky', 'Sakura Andō', 'Kirin Kiki', 'Mayu Matsuoka', 'Jyo Kairi', 'Miyu Sasaki', 'Sôsuke Ikematsu', 'Yuki Yamada', 'Moemi Katayama', 'Daisuke Kuroda', 'Kazuaki Shimizu', 'Izumi Matsuoka', 'Katsuya Maiguma', 'Hajime Inoue', 'Aju Makita', 'Akira Emoto', 'Haruna Hori', 'Wako Andô']",https://www.imdb.com/title/tt8075192/
The Bad Sleep Well,1960,7.9,16000,"['Crime', 'Drama', 'Thriller']",151,Akira Kurosawa,"['Toshirō Mifune', 'Masayuki Mori', 'Kyōko Kagawa', 'Tatsuya Mihashi', 'Takashi Shimura', 'Kō Nishimura', 'Takeshi Katō', 'Kamatari Fujiwara', 'Chishū Ryū', 'Seiji Miyaguchi', 'Kōji Mitsui', 'Ken Mitsuda', 'Nobuo Nakamura', 'Susumu Fujita', 'Kōji Nanbara', 'Gen Shimizu', 'Yoshifumi Tajima', 'Someshô Matsumoto']",https://www.imdb.com/title/tt0054460/
The Terminator,1984,8.1,1000000,"['Action', 'Adventure', 'Sci-Fi']",107,James Cameron,"['Arnold Schwarzenegger', 'Linda Hamilton', 'Michael Biehn', 'Paul Winfield', 'Lance Henriksen', 'Rick Rossovich', 'Bess Motta', 'Earl Boen', 'Dick Miller', 'Shawn Schepps', 'Bruce M. Kerner', 'Franco Columbu', 'Bill Paxton', 'Brad Rearden', 'Brian Thompson', 'William Wisher', 'Ken Fritz', 'Tom Oberhaus']",https://www.imdb.com/title/tt0088247/
Justice League: The Flashpoint Paradox,2013,8.1,67000,"['Animation', 'Action', 'Adventure']",75,Jay Oliva,"['Justin Chambers', 'C. Thomas Howell', 'Michael B. Jordan', 'Kevin McKidd', 'Dee Bradley Baker', 'Steve Blum', 'Kevin Conroy', 'Sam Daly', 'Dana Delany', 'Grey DeLisle', 'Cary Elwes', 'Nathan Fillion', 'Jennifer Hale', 'Danny Huston', 'Danny Jacobs', 'Peter Jessop', 'Lex Lang', 'Vanessa Marshall']",https://www.imdb.com/title/tt2820466/
The Heiress,1949,8.1,19000,"['Drama', 'Romance']",115,William Wyler,"['Olivia de Havilland', 'Montgomery Clift', 'Ralph Richardson', 'Miriam Hopkins', 'Vanessa Brown', 'Betty Linley', 'Ray Collins', 'Mona Freeman', 'Selena Royle', 'Paul Lees', 'Harry Antrim', 'Russ Conway', 'David Thursby', 'Mary Bayless', 'Nan Boardman', 'Jack Chefe', 'Marcel De la Brosse', 'Ray De Ravenne']",https://www.imdb.com/title/tt0041452/
The Holy Innocents,1984,8.1,5400,['Drama'],107,Mario Camus,"['Alfredo Landa', 'Terele Pávez', 'Belén Ballesteros', 'Juan Sachez', 'Susana Sánchez', 'Francisco Rabal', 'Ágata Lys', 'Agustín González', 'Juan Diego', 'Mary Carrillo', 'José Guardiola', 'Manuel Zarzo', 'Francisco Torres', 'Pepín Salvador', 'José Manuel Sito', 'José Albiach', 'Rafael Serna', 'Maribel Martín']",https://www.imdb.com/title/tt0088040/
Amélie,2001,8.2,847000,"['Comedy', 'Romance']",122,Jean-Pierre Jeunet,"['Audrey Tautou', 'Mathieu Kassovitz', 'Rufus', 'Lorella Cravotta', 'Serge Merlin', 'Jamel Debbouze', 'Clotilde Mollet', 'Claire Maurier', 'Isabelle Nanty', 'Dominique Pinon', 'Artus de Penguern', 'Yolande Moreau', 'Urbain Cancelier', 'Maurice Bénichou', 'Michel Robin', 'Andrée Damant', 'Claude Perron', 'Armelle']",https://www.imdb.com/title/tt0211915/
The Young and the Damned,1950,8.2,24000,"['Crime', 'Drama']",80,Luis Buñuel,"['Alfonso Mejía', 'Roberto Cobo', 'Estela Inda', 'Miguel Inclán', 'Alma Delia Fuentes', 'Francisco Jambrina', 'Jesús García', 'Efraín Arauz', 'Sergio Virel', 'Jorge Pérez', 'Javier Amézcua', 'Mario Ramírez', 'Ernesto Alonso', 'Victorio Blanco', 'Juan Luis Buñuel', 'Rubén Campos', 'Lupe Carriles', 'Daniel Corona']",https://www.imdb.com/title/tt0042804/
Jurassic Park,1993,8.2,1200000,"['Adventure', 'Sci-Fi']",127,Steven Spielberg,"['Sam Neill', 'Laura Dern', 'Jeff Goldblum', 'Richard Attenborough', 'Bob Peck', 'Martin Ferrero', 'BD Wong', 'Joseph Mazzello', 'Ariana Richards', 'Samuel L. Jackson', 'Wayne Knight', 'Gerald R. Molen', 'Miguel Sandoval', 'Cameron Thor', 'Christopher John Fields', 'Whit Flint', 'Dean Cundey', 'Jophery C. Brown']",https://www.imdb.com/title/tt0107290/
No Country for Old Men,2007,8.2,1200000,"['Crime', 'Drama', 'Thriller']",122,Ethan Coen,"['Tommy Lee Jones', 'Javier Bardem', 'Josh Brolin', 'Woody Harrelson', 'Kelly Macdonald', 'Garret Dillahunt', 'Tess Harper', 'Barry Corbin', 'Stephen Root', 'Rodger Boyce', 'Beth Grant', 'Ana Reeder', 'Kit Gwin', 'Zach Hopkins', 'Chip Love', 'Eduardo Antonio Garcia', 'Gene Jones', 'Myk Watford']",https://www.imdb.com/title/tt0477348/
Like Stars on Earth,2007,8.3,236000,"['Drama', 'Family']",162,Aamir Khan,"['Darsheel Safary', 'Aamir Khan', 'Tisca Chopra', 'Vipin Sharma', 'Tanay Chheda', 'Sachet Engineer', 'Girija Oak', 'Lalitha Lajmi', 'Ravi Khanvilkar', 'Pratima Kulkarni', 'Meghna Malik', 'Sonali Sachdev', 'Sanjay Dadhich', 'Rajgopal Iyer', 'Bugs Bhargava Krishna', 'Shankar Sachdev', 'M.K. Raina', 'Gurkirtan']",https://www.imdb.com/title/tt0986264/
To Kill a Mockingbird,1962,8.2,353000,"['Crime', 'Drama']",129,Robert Mulligan,"['Gregory Peck', 'John Megna', 'Frank Overton', 'Rosemary Murphy', 'Ruth White', 'Brock Peters', 'Estelle Evans', 'Paul Fix', 'Collin Wilcox Paxton', 'James Anderson', 'Alice Ghostley', 'Robert Duvall', 'William Windom', 'Crahan Denton', 'Richard Hale', 'Mary Badham', 'Phillip Alford', 'R.L. Armstrong']",https://www.imdb.com/title/tt0056592/
Before Sunset,2004,8.1,320000,"['Drama', 'Romance']",80,Richard Linklater,"['Ethan Hawke', 'Julie Delpy', 'Vernon Dobtcheff', 'Louise Lemoine Torrès', 'Rodolphe Pauly', 'Mariane Plasteig', 'Diabolo', 'Denis Evrard', 'Albert Delpy', 'Marie Pillet']",https://www.imdb.com/title/tt0381681/
Die Hard,1988,8.2,1000000,"['Action', 'Thriller']",132,John McTiernan,"['Bruce Willis', 'Alan Rickman', 'Bonnie Bedelia', 'Reginald VelJohnson', 'Paul Gleason', ""De'voreaux White"", 'William Atherton', 'Hart Bochner', 'James Shigeta', 'Alexander Godunov', 'Bruno Doyon', 'Andreas Wisniewski', 'Clarence Gilyard Jr.', 'Joseph Plewa', 'Lorenzo Caccialanza', 'Gérard Bonn', 'Dennis Hayden', 'Al Leong']",https://www.imdb.com/title/tt0095016/
"Batman: The Dark Knight Returns, Part 2",2013,8.3,62000,"['Animation', 'Action', 'Crime']",76,Jay Oliva,"['Peter Weller', 'Ariel Winter', 'Michael Emerson', 'David Selby', 'Wade Williams', 'Mark Valley', 'Carlos Alazraqui', 'Dee Bradley Baker', 'Paget Brewster', 'Maria Canals-Barrera', 'Townsend Coleman', 'Cathy Cavadini', 'Grey DeLisle', 'Robin Atkin Downes', 'Greg Eagles', 'Richard Doyle', 'Michael Jackson', 'Danny Jacobs']",https://www.imdb.com/title/tt2166834/
La Dolce Vita,1960,8.0,87000,"['Comedy', 'Drama']",174,Federico Fellini,"['Marcello Mastroianni', 'Anita Ekberg', 'Anouk Aimée', 'Yvonne Furneaux', 'Magali Noël', 'Alain Cuny', 'Annibale Ninchi', 'Walter Santesso', 'Valeria Ciangottini', 'Riccardo Garrone', 'Ida Galli', 'Audrey McDonald', 'Polidor', 'Alain Dijon', 'Mino Doro', 'Giulio Girola', 'Laura Betti', 'Nico']",https://www.imdb.com/title/tt0053779/
Pan's Labyrinth,2006,8.2,753000,"['Drama', 'Fantasy', 'War']",118,Guillermo del Toro,"['Ivana Baquero', 'Ariadna Gil', 'Sergi López', 'Maribel Verdú', 'Doug Jones', 'Álex Angulo', 'Manolo Solo', 'César Vea', 'Roger Casamajor', 'Ivan Massagué', 'Gonzalo Uriarte', 'Eusebio Lázaro', 'Francisco Vidal', 'Juanjo Cucalón', 'Lina Mira', 'Mario Zorrilla', 'Sebastián Haro', 'Mila Espiga']",https://www.imdb.com/title/tt0457430/
Dog Day Afternoon,1975,8.0,295000,"['Biography', 'Crime', 'Drama']",125,Sidney Lumet,"['Al Pacino', 'John Cazale', 'Penelope Allen', 'Sully Boyar', 'Beulah Garrick', 'Carol Kane', 'Sandra Kazan', 'Marcia Jean Kurtz', 'Amy Levitt', 'John Marriott', 'Estelle Omens', 'Gary Springer', 'James Broderick', 'Charles Durning', 'Carmine Foresta', 'Lance Henriksen', 'Floyd Levine', 'Dick Anthony Williams']",https://www.imdb.com/title/tt0072890/
Waiting for the Hearse,1985,8.0,8600,['Comedy'],94,Alejandro Doria,"['Luis Brandoni', 'China Zorrilla', 'Antonio Gasalla', 'Julio De Grazia', 'Betiana Blum', 'Mónica Villa', 'Juan Manuel Tenuta', 'Andrea Tenuta', 'Cecilia Rossetto', 'Enrique Pinti', 'Darío Grandinetti', 'Lidia Catalano', 'Clotilde Borella', 'Juan Acosta', 'Angelita Pardo', 'Pina Criscuolo', 'Mónica Alessandría', 'Rafael Rodríguez']",https://www.imdb.com/title/tt0089108/
Ratatouille,2007,8.1,966000,"['Animation', 'Adventure', 'Comedy']",111,Brad Bird,"['Brad Garrett', 'Lou Romano', 'Patton Oswalt', 'Ian Holm', 'Brian Dennehy', 'Peter Sohn', ""Peter O'Toole"", 'Janeane Garofalo', 'Will Arnett', 'Julius Callahan', 'James Remar', 'John Ratzenberger', 'Teddy Newton', 'Tony Fucile', 'Jake Steinfeld', 'Brad Bird', 'Stéphane Roux', 'Jack Bird']",https://www.imdb.com/title/tt0382932/
The Bridge on the River Kwai,1957,8.1,251000,"['Adventure', 'Drama', 'War']",161,David Lean,"['William Holden', 'Alec Guinness', 'Jack Hawkins', 'Sessue Hayakawa', 'James Donald', 'Geoffrey Horne', 'André Morell', 'Peter Williams', 'John Boxer', 'Percy Herbert', 'Harold Goodwin', 'Ann Sears', 'Heihachirō Ōkawa', 'Keiichirô Katsumoto', 'M.R.B. Chakrabandhu', 'Vilaiwan Seeboonreaung', 'Ngamta Suphaphongs', 'Javanart Punynchoti']",https://www.imdb.com/title/tt0050212/
An Adventure in Space and Time,2013,8.2,7900,"['Biography', 'Drama', 'History']",86,Terry McDonough,"['David Bradley', 'Ross Gurney-Randall', 'Roger May', 'Sam Hoare', 'Charlie Kemp', 'Brian Cox', 'William Russell', 'Jeff Rawle', 'Andrew Woodall', 'Jessica Raine', 'Jemma Powell', 'Lesley Manville', 'Cara Jenkins', 'Sacha Dhawan', 'Toby Hadoke', 'Sarah Winter', 'Jamie Glover', 'Claudia Grant']",https://www.imdb.com/title/tt2663812/
Grand Illusion,1937,8.0,41000,"['Drama', 'War']",113,Jean Renoir,"['Jean Gabin', 'Dita Parlo', 'Pierre Fresnay', 'Erich von Stroheim', 'Julien Carette', 'Georges Péclet', 'Werner Florian', 'Jean Dasté', 'Sylvain Itkine', 'Gaston Modot', 'Marcel Dalio', 'Jacques Becker', 'Habib Benglia', 'Pierre Blondy', 'Albert Brouett', 'George Forster', 'Georges Fronval', 'Karl Heil']",https://www.imdb.com/title/tt0028950/
Spotlight,2015,8.1,541000,"['Biography', 'Crime', 'Drama']",129,Tom McCarthy,"['Mark Ruffalo', 'Michael Keaton', 'Rachel McAdams', 'Liev Schreiber', 'John Slattery', ""Brian d'Arcy James"", 'Stanley Tucci', 'Elena Wohl', 'Gene Amoroso', 'Doug Murray', 'Sharon McFarlane', 'Jamey Sheridan', 'Neal Huff', 'Billy Crudup', 'Robert B. Kennedy', 'Duane Murray', 'Brian Chamberlain', 'Michael Cyril Creighton']",https://www.imdb.com/title/tt1895587/
Short Term 12,2013,7.9,96000,['Drama'],96,Destin Daniel Cretton,"['Brie Larson', 'Frantz Turner', 'John Gallagher Jr.', 'Stephanie Beatriz', 'Rami Malek', 'Alex Calloway', 'Kevin Balmore', 'Lydia Du Veaux', 'LaKeith Stanfield', 'Kaitlyn Dever', 'Diana Maria Riva', 'Harold Cannon', 'Silvia Curiel', 'Melora Walters', ""Bran'dee Allen"", 'Danny Roper', 'Elyssa Gutierrez', 'Garryson Zamora']",https://www.imdb.com/title/tt2370248/
How the Grinch Stole Christmas!,1966,8.3,67000,"['Animation', 'Comedy', 'Family']",26,Chuck Jones,"['Boris Karloff', 'June Foray', 'Dal McKennon']",https://www.imdb.com/title/tt0060345/
Bangalore Days,2014,8.3,29000,"['Comedy', 'Drama', 'Musical']",171,Anjali Menon,"['Dulquer Salmaan', 'Nivin Pauly', 'Nazriya Nazim', 'Fahadh Faasil', 'Parvathy Thiruvothu', 'Isha Talwar', 'Nithya Menen', 'Kalpana', 'Maniyanpilla Raju', 'Praveena', 'Vijayaraghavan', 'Sijoy Varghese', 'Sajid Yahiya', 'Prathap Pothen', 'Vinaya Prasad', 'Paris Laxmi', 'Ajith', 'Bhagyalakshmi']",https://www.imdb.com/title/tt3668162/
Oldboy,2003,8.3,733000,"['Action', 'Drama', 'Mystery']",120,Park Chan-wook,"['Choi Min-sik', 'Yoo Ji-tae', 'Kang Hye-jeong', 'Kim Byeong-Ok', 'Ji Dae-han', 'Oh Dal-su', 'Lee Seung-shin', 'Yoon Jin-seo', 'Oh Tae-kyung', 'Yoo Yeon-seok', 'Il-han Oo', 'Lee Young-hee', 'Kim Young Ae', 'Mi Mi Lee', 'Jae-Duk Han', 'Jung Ae Kwak', 'San Kim', 'Chae-soo Jang']",https://www.imdb.com/title/tt0364569/
Avengers: Infinity War,2018,8.4,1400000,"['Action', 'Adventure', 'Sci-Fi']",149,Anthony Russo,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans', 'Scarlett Johansson', 'Don Cheadle', 'Benedict Cumberbatch', 'Tom Holland', 'Chadwick Boseman', 'Zoe Saldaña', 'Karen Gillan', 'Tom Hiddleston', 'Paul Bettany', 'Elizabeth Olsen', 'Anthony Mackie', 'Sebastian Stan', 'Idris Elba', 'Danai Gurira']",https://www.imdb.com/title/tt4154756/
To Live,1994,8.3,23000,"['Drama', 'War']",133,Yimou Zhang,"['You Ge', 'Gong Li', 'Ben Niu', 'Wu Jiang', 'Deng Fei', 'Tao Guo', 'Tianchi Liu', 'Zongluo Huang', 'Yanjin Liu', 'Dahong Ni', 'Lianyi Li', 'Cong Xiao', 'Lu Zhang', 'Yan Su']",https://www.imdb.com/title/tt0110081/
Farewell My Concubine,1993,8.1,38000,"['Drama', 'Music', 'Romance']",171,Kaige Chen,"['Leslie Cheung', 'Fengyi Zhang', 'Gong Li', 'You Ge', 'Da Ying', 'Qi Lü', 'Han Lei', 'Di Tong', 'Zhi Yin', 'Mingwei Ma', 'Hailong Zhao', 'Zhenxiang Fei', 'Dan Li', 'Yongchao Yang', 'Fei Huang', 'Wenli Jiang', 'Yitong Zhi', 'Chun Li']",https://www.imdb.com/title/tt0106332/
Nobody Knows,2004,8.0,36000,['Drama'],141,Hirokazu Koreeda,"['Yûya Yagira', 'Ayu Kitaura', 'Hiei Kimura', 'Momoko Shimizu', 'Hanae Kan', 'You', 'Kazuyoshi Kushida', 'Yukiko Okamoto', 'Sei Hiraizumi', 'Ryô Kase', 'Takako Tate', 'Yûichi Kimura', ""Ken'ichi Endō"", 'Susumu Terajima', 'Shinichi Hashizawa', 'Asato Hayashida', 'Suguru Horimizu', 'Tairiku Horita']",https://www.imdb.com/title/tt0408664/
The Elephant Man,1980,8.2,284000,"['Biography', 'Drama']",124,David Lynch,"['Anthony Hopkins', 'John Hurt', 'Anne Bancroft', 'John Gielgud', 'Wendy Hiller', 'Freddie Jones', 'Michael Elphick', 'Hannah Gordon', 'Helen Ryan', 'John Standing', 'Dexter Fletcher', 'Lesley Dunlop', 'Phoebe Nicholls', 'Pat Gorman', 'Claire Davenport', 'Orla Pederson', 'Patsy Smart', 'Frederick Treves']",https://www.imdb.com/title/tt0080678/
Fargo,1996,8.1,797000,"['Crime', 'Drama', 'Thriller']",98,Joel Coen,"['William H. Macy', 'Frances McDormand', 'Steve Buscemi', 'Peter Stormare', 'Kristin Rudrüd', 'Harve Presnell', 'Tony Denman', 'Gary Houston', 'Sally Wingert', 'Kurt Schweickhardt', 'Larissa Kokernot', 'Melissa Peterman', 'Steve Reevis', 'Warren Keith', 'Steve Edelman', 'Sharon Anderson', 'Larry Brandenburg', 'James Gaulke']",https://www.imdb.com/title/tt0116282/
In the Name of the Father,1993,8.1,205000,"['Biography', 'Crime', 'Drama']",133,Jim Sheridan,"['Daniel Day-Lewis', 'Pete Postlethwaite', 'Anthony Brophy', 'Emma Thompson', 'Frankie McCafferty', 'Alison Crosbie', 'Philip King', 'Nye Heron', 'Paul Warriner', 'Julian Walsh', 'Stuart Wolfenden', 'Jo Connor', 'Karen Carlisle', 'Seamus Moran', 'Billy Byrne', 'Maureen McBride', 'Jane Nolan', 'Laurence Griffin']",https://www.imdb.com/title/tt0107207/
