Title,Year,Rating,Votes,Genres,Runtime_minutes,Director,Actors,URL
Casablanca,1942,8.5,661000,"['Drama', 'Romance', 'War']",102,Michael Curtiz,"['Humphrey Bogart', 'Ingrid Bergman', 'Paul Henreid', 'Claude Rains', 'Conrad Veidt', 'Sydney Greenstreet', 'Peter Lorre', 'S.Z. Sakall', 'Madeleine Lebeau', 'Dooley Wilson', 'Joy Page', 'John Qualen', 'Leonid Kinskey', 'Curt Bois', 'Abdullah Abbas', 'Enrique Acosta', 'Ed Agresti', 'Arnet Amos']",https://www.imdb.com/title/tt0034583/
A Brighter Summer Day,1991,8.2,15000,"['Crime', 'Drama', 'Romance']",237,Edward Yang,"['Chang Chen', 'Lisa Yang', 'Kuo-Chu Chang', 'Elaine Jin', 'Chuan Wang', 'Han Chang', 'Hsiu-Chiung Chiang', 'Stephanie Lai', 'Chi-tsan Wang', 'Lawrence Ko', 'Chih-Kang Tan', 'Ming-Hsin Chang', 'Chun-Lung Jung', 'Hui-Kuo Chou', 'Ching-Chi Liu', 'Ching-Hsiang Ho', 'Chang-Ta Tsai', 'Tsung-Ming Lee']",https://www.imdb.com/title/tt0101985/
Singin' in the Rain,1952,8.3,286000,"['Comedy', 'Musical', 'Romance']",103,Stanley Donen,"['Gene Kelly', ""Donald O'Connor"", 'Debbie Reynolds', 'Jean Hagen', 'Millard Mitchell', 'Cyd Charisse', 'Douglas Fowley', 'Rita Moreno', 'Dorothy Abbott', 'Dawn Addams', 'John Albright', 'Shirlee Allard', 'Bebe Allen', 'Sue Allen', 'John Angelo', 'Marie Ardell', 'Bette Arlen', 'David Bair']",https://www.imdb.com/title/tt0045152/
Back to the Future,1985,8.5,1500000,"['Adventure', 'Comedy', 'Sci-Fi']",116,Robert Zemeckis,"['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson', 'Crispin Glover', 'Tom Wilson', 'Claudia Wells', 'Marc McClure', 'Wendie Jo Sperber', 'George DiCenzo', 'Frances Lee McCain', 'James Tolkan', 'J.J. Cohen', 'Casey Siemaszko', 'Billy Zane', 'Harry Waters Jr.', 'Donald Fullilove', 'Lisa Freeman', 'Cristen Kauffman']",https://www.imdb.com/title/tt0088763/
Saving Private Ryan,1998,8.6,1700000,"['Drama', 'War']",169,Steven Spielberg,"['Tom Hanks', 'Matt Damon', 'Tom Sizemore', 'Edward Burns', 'Barry Pepper', 'Adam Goldberg', 'Vin Diesel', 'Giovanni Ribisi', 'Jeremy Davies', 'Ted Danson', 'Paul Giamatti', 'Dennis Farina', 'Joerg Stadler', 'Max Martini', 'Dylan Bruno', 'Daniel Cerqueira', 'Demetri Goritsas', 'Ian Porter']",https://www.imdb.com/title/tt0120815/
Paths of Glory,1957,8.4,243000,"['Drama', 'War']",88,Stanley Kubrick,"['Kirk Douglas', 'Ralph Meeker', 'Adolphe Menjou', 'George Macready', 'Wayne Morris', 'Richard Anderson', 'Joe Turkel', 'Christiane Kubrick', 'Jerry Hausner', 'Peter Capell', 'Emile Meyer', 'Bert Freed', 'Kem Dibbs', 'Timothy Carey', 'Fred Bell', 'John Stein', 'Harold Benedict', 'Paul Bös']",https://www.imdb.com/title/tt0050825/
Once Upon a Time in the West,1968,8.5,388000,"['Drama', 'Western']",145,Sergio Leone,"['Henry Fonda', 'Charles Bronson', 'Claudia Cardinale', 'Jason Robards', 'Gabriele Ferzetti', 'Paolo Stoppa', 'Woody Strode', 'Jack Elam', 'Keenan Wynn', 'Frank Wolff', 'Lionel Stander', 'Livio Andronico', 'Salvatore Basile', 'Aldo Berti', 'Regina Elena Bisio', 'Joseph Bradley', 'Frank Braña', 'Marilù Carteny']",https://www.imdb.com/title/tt0064116/
Apocalypse Now,1979,8.4,778000,"['Drama', 'Mystery', 'War']",147,Francis Ford Coppola,"['Martin Sheen', 'Marlon Brando', 'Robert Duvall', 'Frederic Forrest', 'Sam Bottoms', 'Laurence Fishburne', 'Albert Hall', 'Harrison Ford', 'Dennis Hopper', 'G.D. Spradlin', 'Jerry Ziesmer', 'Scott Glenn', 'Bo Byers', 'James Keane', 'Kerry Rossall', 'Ron McQueen', 'Tom Mason', 'Cynthia Wood']",https://www.imdb.com/title/tt0078788/
Hamilton,2020,8.3,143000,"['Biography', 'Drama', 'History']",160,Thomas Kail,"['Lin-Manuel Miranda', 'Phillipa Soo', 'Leslie Odom Jr.', 'Daveed Diggs', 'Renée Elise Goldsberry', 'Jonathan Groff', 'Chris Jackson', 'Jasmine Cephas Jones', 'Okieriete Onaodowan', 'Anthony Ramos', 'Carleigh Bettiol', 'Ariana DeBose', 'Hope Easterbrook', 'Sydney James Harcourt', 'Sasha Hutchings', 'Thayne Jasperson', 'Elizabeth Judd', 'Jon Rua']",https://www.imdb.com/title/tt8503618/
Samurai Rebellion,1967,8.3,16000,['Drama'],128,Masaki Kobayashi,"['Toshirō Mifune', 'Yôko Tsukasa', 'Gô Katô', 'Tatsuyoshi Ehara', 'Etsuko Ichihara', 'Isao Yamagata', 'Tatsuya Nakadai', 'Shigeru Kôyama', 'Michiko Ôtsuka', 'Tatsuo Matsumura', 'Masao Mishima', 'Jun Hamamura', 'Emi Yamada', 'Takamaru Sasaki', 'Hideo Fukuhara', 'Noriko Kawajiri', 'Tetsuko Kobayashi', 'Hisano Yamaoka']",https://www.imdb.com/title/tt0061847/
Princess Mononoke,1997,8.3,491000,"['Animation', 'Adventure', 'Fantasy']",133,Hayao Miyazaki,"['Yôji Matsuda', 'Yuriko Ishida', 'Yûko Tanaka', 'Kaoru Kobayashi', 'Masahiko Nishimura', 'Tsunehiko Kamijô', 'Sumi Shimamoto', 'Tetsu Watanabe', 'Makoto Satô', 'Akira Nagoya', 'Akihiro Miwa', 'Mitsuko Mori', 'Hisaya Morishige', 'Kei Iinuma', 'Akira Sakamoto', 'Kimihiro Reizei', 'Michiko Yamamoto', 'Yoshimasa Kondô']",https://www.imdb.com/title/tt0119698/
Star Wars: Episode IV - A New Hope,1977,8.6,1600000,"['Action', 'Adventure', 'Fantasy']",121,George Lucas,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Peter Cushing', 'Alec Guinness', 'Anthony Daniels', 'Kenny Baker', 'Peter Mayhew', 'David Prowse', 'Phil Brown', 'Shelagh Fraser', 'Jack Purvis', 'Alex McCrindle', 'Eddie Byrne', 'Drewe Henley', 'Denis Lawson', 'Garrick Hagon', 'Jack Klaff']",https://www.imdb.com/title/tt0076759/
Le Trou,1960,8.5,24000,"['Crime', 'Drama', 'Thriller']",131,Jacques Becker,"['André Bervil', 'Jean Keraudy', 'Michel Constantin', 'Philippe Leroy', 'Raymond Meunier', 'Marc Michel', 'Jean-Paul Coquelin', 'Eddy Rasimi', 'Albert Augier', 'Jean Becker', 'Mick Besson', 'Georges Bielec', 'Raymond Bour', 'Lucien Camiret', 'Philippe Dumat', 'Durieu', 'Gérard Hernandez', 'Jean Luisi']",https://www.imdb.com/title/tt0054407/
Coco,2017,8.4,727000,"['Animation', 'Adventure', 'Drama']",105,Adrian Molina,"['Anthony Gonzalez', 'Gael García Bernal', 'Benjamin Bratt', 'Alanna Ubach', 'Renée Victor', 'Jaime Camil', 'Alfonso Arau', 'Herbert Siguenza', 'Gabriel Iglesias', 'Lombardo Boyar', 'Ana Ofelia Murguía', 'Natalia Cordova-Buckley', 'Selene Luna', 'Edward James Olmos', 'Sofía Espinosa', 'Carla Medina', 'Dyana Ortelli', 'Luis Valdez']",https://www.imdb.com/title/tt2380307/
Das Boot,1981,8.3,291000,"['Drama', 'War']",149,Wolfgang Petersen,"['Jürgen Prochnow', 'Herbert Grönemeyer', 'Klaus Wennemann', 'Hubertus Bengsch', 'Martin Semmelrogge', 'Bernd Tauber', 'Erwin Leder', 'Martin May', 'Heinz Hoenig', 'Uwe Ochsenknecht', 'Claude-Oliver Rudolph', 'Jan Fedder', 'Ralf Richter', 'Joachim Bernhard', 'Oliver Stritzel', 'Konrad Becker', 'Lutz Schnell', 'Martin Hemme']",https://www.imdb.com/title/tt0082096/
Sansho the Bailiff,1954,8.3,20000,['Drama'],124,Kenji Mizoguchi,"['Kinuyo Tanaka', 'Yoshiaki Hanayagi', 'Kyōko Kagawa', 'Eitarō Shindō', 'Ichirō Sugai', 'Bontarō Miake', 'Yôko Kosono', 'Chieko Naniwa', 'Kikue Môri', 'Ken Mitsuda', 'Masao Shimizu', 'Ryōsuke Kagawa', 'Akitake Kôno', 'Kanji Koshiba', 'Shinobu Araki', 'Masahiko Tsugawa', 'Keiko Enami', 'Naoki Fujima']",https://www.imdb.com/title/tt0047445/
